group,feature,boundary,auc,sep,worst_fam_sep
CAD,env_entropy,animal_multi_vs_single,0.8184840922432309,0.8184840922432309,0.7332745992929508
CAD,env_ac_strength,animal_multi_vs_single,0.1943989944534629,0.8056010055465371,0.7695913080392804
ENG,comb_salience,animal_multi_vs_single,0.2875186819939724,0.7124813180060277,0.6131122387141523
ENG,n_lines,animal_multi_vs_single,0.2918324684401255,0.7081675315598746,0.5934754289706843
CAD,gust_mod,animal_multi_vs_single,0.6886672863841444,0.6886672863841444,0.6162563771417979
ENG,tonality_max,animal_multi_vs_single,0.3219762603995659,0.678023739600434,0.5981297367051426
CAD,iii_cv,animal_multi_vs_single,0.6604717872547489,0.6604717872547489,0.5069542801328544
ENG,line_mains,animal_multi_vs_single,0.3505098368660007,0.6494901631339993,0.5879551845691756
ENG,beat_depth,animal_multi_vs_single,0.3522198498004166,0.6477801501995835,0.5159381184261587
CAD,env_cv,animal_multi_vs_single,0.3613977763389018,0.6386022236610982,0.5195242135325266
WX,highband_kurtosis,animal_multi_vs_single,0.3720868379404017,0.6279131620595984,0.5319356923368374
LEGACY,activity_concentration,animal_multi_vs_single,0.3775360379186562,0.6224639620813438,0.5196707006427813
CAD,cad_salience,animal_multi_vs_single,0.3777948991248361,0.6222051008751639,0.5839774822770988
LEGACY,burst_efficiency,animal_multi_vs_single,0.3932946219768751,0.6067053780231249,0.521925430601953
LEGACY,kurtosis,animal_multi_vs_single,0.4063740038519482,0.5936259961480518,0.5000777745135315
CAD,iii_mean,animal_multi_vs_single,0.4145760795325586,0.5854239204674414,0.5302452309347415
LEGACY,peak_to_peak,animal_multi_vs_single,0.574318567358807,0.574318567358807,0.5166012220979999
LEGACY,rms_total,animal_multi_vs_single,0.5717474099681196,0.5717474099681196,0.5143973891001862
PHYS,log_rms,animal_multi_vs_single,0.5717474099545249,0.5717474099545249,0.5143973873571419
LEGACY,variance,animal_multi_vs_single,0.5717473408254993,0.5717473408254993,0.5143973536582881
LEGACY,temporal_entropy,animal_multi_vs_single,0.5700981335055384,0.5700981335055384,0.5008556767530327
CAD,mod_peak_count,animal_multi_vs_single,0.4312985352177997,0.5687014647822003,0.5256247104402385
LEGACY,energy_mid_gap,animal_multi_vs_single,0.5594493348214088,0.5594493348214088,0.5285252646341972
CAD,footfall_rate,animal_multi_vs_single,0.4405742654087468,0.5594257345912532,0.501737741246283
LEGACY,energy_car_approach,animal_multi_vs_single,0.5589992820463326,0.5589992820463326,0.5446838139509302
LEGACY,spectral_entropy,animal_multi_vs_single,0.5583167657935029,0.5583167657935029,0.5356711263796983
LEGACY,energy_car_tail,animal_multi_vs_single,0.5576185556046477,0.5576185556046477,0.5110793958609816
LEGACY,energy_human_peak,animal_multi_vs_single,0.5576061623065658,0.5576061623065658,0.5240896817871172
LEGACY,energy_car_peak,animal_multi_vs_single,0.5576020509489685,0.5576020509489685,0.5235197748686887
LEGACY,energy_high_freq,animal_multi_vs_single,0.5570499219760627,0.5570499219760627,0.5073346933828464
LEGACY,energy_low_freq,animal_multi_vs_single,0.555566948111361,0.555566948111361,0.5355020586327707
LEGACY,energy_human_tail,animal_multi_vs_single,0.5552048102073917,0.5552048102073917,0.5000410968531116
LEGACY,spectral_bandwidth,animal_multi_vs_single,0.4512993137932496,0.5487006862067504,0.528234919386392
WPE,wpe_8,animal_multi_vs_single,0.4513403929927697,0.5486596070072303,0.518951187270583
LEGACY,mean_burst_len,animal_multi_vs_single,0.4517899704089329,0.5482100295910671,0.5043270600843179
