feature,domain_auc,domain_strength,gbt_imp,transfer_delta,class_sep,DROP
ar_2,0.779,0.557,0.0025,0.619,0.592,False
wpe_8,0.238,0.525,0.0,0.461,0.85,False
wpe_9,0.274,0.452,0.0039,0.737,0.833,False
dominant_freq,0.276,0.447,0.0026,0.347,0.204,False
mod_centroid,0.292,0.415,0.0071,0.257,0.651,False
highband_kurtosis,0.704,0.408,0.0458,0.193,0.855,False
rms_cv_sub,0.696,0.392,0.0038,0.341,0.759,False
mod_e_8_12,0.307,0.386,0.0028,0.361,0.644,False
sta_lta_ratio,0.693,0.386,0.0178,0.49,0.915,False
ar_1,0.31,0.38,0.0014,0.415,0.796,False
env_entropy,0.32,0.359,0.0043,0.194,0.77,False
ratio_car_human,0.669,0.339,0.0063,0.713,0.222,False
kurtosis,0.664,0.328,0.0,0.393,0.845,False
event_count,0.336,0.328,0.0053,0.664,0.696,False
lfcc_5,0.337,0.326,0.0301,0.232,0.515,False
lfcc_6,0.662,0.324,0.0034,0.374,0.313,False
temporal_entropy,0.34,0.32,0.003,0.158,0.813,False
mfcc_2,0.659,0.317,0.0,0.732,0.345,False
heli_comb_salience,0.657,0.314,0.01,0.661,0.512,False
lfcc_7,0.344,0.312,0.0082,0.332,0.343,False
env_ac_strength,0.653,0.306,0.0308,0.263,0.812,False
cad_salience,0.652,0.305,0.0237,0.115,0.708,False
centroid_var,0.653,0.305,0.0,0.362,0.325,False
wpe_11,0.349,0.303,0.0,0.834,0.778,False
beat_depth,0.647,0.295,0.0734,0.258,0.938,False
footfall_rate,0.353,0.294,0.0134,0.025,0.759,False
env_cv,0.645,0.289,0.0174,0.544,0.925,False
tonal_in_foot,0.642,0.284,0.0028,0.639,0.59,False
mean_burst_len,0.641,0.282,0.0,0.883,0.755,False
zcr,0.364,0.271,0.0061,0.902,0.66,False
centroid_foot_band,0.369,0.262,0.0014,0.809,0.363,False
skewness,0.373,0.255,0.0032,0.482,0.078,False
mod_e_1_3,0.625,0.249,0.0031,0.122,0.691,False
mod_ratio_low_mid,0.622,0.243,0.0,0.207,0.702,False
spectral_centroid,0.383,0.233,0.0032,0.812,0.842,False
ratio_veh_foot,0.615,0.23,0.0007,0.842,0.411,False
n_sharp_lines,0.611,0.223,0.0227,0.192,0.849,False
mfcc_3,0.611,0.222,0.0055,0.625,0.37,False
impulse_amp_cv,0.609,0.218,0.0149,0.396,0.761,False
wpe_10,0.393,0.213,0.0,0.791,0.774,False
rain_impulse_rate,0.606,0.212,0.0327,0.34,0.747,False
frac_foot_20_90,0.398,0.203,0.0052,0.533,0.438,False
veh_foot_simultaneity,0.597,0.194,0.0034,0.472,0.542,False
wpe_14,0.404,0.191,0.0,0.793,0.728,False
cad_freq,0.407,0.185,0.0053,0.09,0.748,False
hop_band_frac,0.59,0.179,0.0409,0.658,0.563,False
activity_concentration,0.59,0.179,0.0,0.587,0.824,False
comb_stability,0.588,0.176,0.0012,0.418,0.465,False
wpe_2,0.412,0.175,0.0057,0.855,0.531,False
comb_f0,0.585,0.17,0.0074,0.345,0.091,False
lfcc_1,0.584,0.167,0.0166,0.887,0.327,False
mod_peak_count,0.583,0.167,0.0,0.084,0.374,False
mfcc_8,0.579,0.158,0.0011,0.408,0.38,False
spectral_rolloff,0.422,0.155,0.0,0.796,0.69,False
lfcc_3,0.424,0.152,0.0044,0.409,0.524,False
comb_salience,0.576,0.152,0.0326,0.505,0.714,False
