family,distance_bin,condition,unique_windows,vehicle_recall_mean,vehicle_recall_sd,human_head_rate_mean,human_head_rate_sd,seeds
SNN-S,0-10 m,adapted_positive_replay,346,0.8795761078998073,0.010149955445908236,0.04142581888246628,0.0016686423965018068,3
SNN-S,10-20 m,adapted_positive_replay,293,0.9010238907849829,0.013651877133105783,0.02389078498293515,0.014876788203210489,3
SNN-S,20-40 m,adapted_positive_replay,257,0.8793774319066148,0.006739497305715452,0.038910505836575876,0.007782101167315175,3
SNN-S,40-80 m,adapted_positive_replay,139,0.8153477218225419,0.0041535990589181455,0.02877697841726619,0.014388489208633094,3
SNN-S,80+ m,adapted_positive_replay,61,0.6885245901639344,0.0,0.03278688524590164,0.01639344262295082,3
SNN-S,0-10 m,synthetic_only,346,0.7967244701348748,0.0044148128082426,0.1348747591522158,0.01168049677551267,3
SNN-S,10-20 m,synthetic_only,293,0.8122866894197953,0.005911436203306764,0.16951080773606372,0.005213396695057851,3
SNN-S,20-40 m,synthetic_only,257,0.8404669260700389,0.0038910505836575737,0.13229571984435798,0.006739497305715468,3
SNN-S,40-80 m,synthetic_only,139,0.8872901678657074,0.008307198117836362,0.03117505995203837,0.004153599058918169,3
SNN-S,80+ m,synthetic_only,61,0.6994535519125683,0.00946475851130535,0.02185792349726776,0.009464758511305342,3
SNN-M,0-10 m,adapted_positive_replay,346,0.9797687861271677,0.005005927189505415,0.04046242774566474,0.0,3
SNN-M,10-20 m,adapted_positive_replay,293,0.9897610921501706,0.0,0.019340159271899887,0.007104662114218883,3
SNN-M,20-40 m,adapted_positive_replay,257,0.9766536964980544,0.0038910505836575737,0.007782101167315175,0.0038910505836575876,3
SNN-M,40-80 m,adapted_positive_replay,139,0.9424460431654677,0.0,0.0,0.0,3
SNN-M,80+ m,adapted_positive_replay,61,0.8306010928961749,0.025041397240195815,0.01639344262295082,0.0,3
SNN-M,0-10 m,synthetic_only,346,0.8246628131021194,0.018581215339100145,0.20038535645472064,0.008343211982509056,3
SNN-M,10-20 m,synthetic_only,293,0.8418657565415244,0.003940957468871216,0.23549488054607506,0.006825938566552902,3
SNN-M,20-40 m,synthetic_only,257,0.8443579766536965,0.010294752183130666,0.20363164721141377,0.005943677944171005,3
SNN-M,40-80 m,synthetic_only,139,0.8345323741007195,0.007194244604316585,0.1079136690647482,0.012460797176754516,3
SNN-M,80+ m,synthetic_only,61,0.6994535519125683,0.0189295170226107,0.03278688524590164,0.0,3
SNN-L,0-10 m,adapted_positive_replay,346,0.9874759152215798,0.004414812808242685,0.07321772639691715,0.010149955445908224,3
SNN-L,10-20 m,adapted_positive_replay,293,0.9852104664391353,0.0019704787344356203,0.04664391353811149,0.008589117673800623,3
SNN-L,20-40 m,adapted_positive_replay,257,0.9740596627756161,0.008099867702202822,0.04669260700389105,0.01556420233463035,3
SNN-L,40-80 m,adapted_positive_replay,139,0.9304556354916067,0.0041535990589181455,0.02877697841726619,0.007194244604316545,3
SNN-L,80+ m,adapted_positive_replay,61,0.8907103825136612,0.03412567212239566,0.08196721311475409,0.0,3
SNN-L,0-10 m,synthetic_only,346,0.8246628131021194,0.013032513736482334,0.2350674373795761,0.006674569586007233,3
SNN-L,10-20 m,synthetic_only,293,0.8350398179749715,0.0071046621142188794,0.24459613196814564,0.005213396695057831,3
SNN-L,20-40 m,synthetic_only,257,0.8417639429312581,0.014731279755642788,0.21660181582360571,0.025316759138707047,3
SNN-L,40-80 m,synthetic_only,139,0.8465227817745804,0.029075193412427154,0.08393285371702637,0.008307198117836348,3
SNN-L,80+ m,synthetic_only,61,0.726775956284153,0.00946475851130535,0.04371584699453552,0.009464758511305337,3
