family,heldout_scene,condition,unique_windows,vehicle_recall_mean,vehicle_recall_sd,human_head_rate_mean,human_head_rate_sd,seeds
SNN-S,a06,adapted_positive_replay,191,0.75043630017452,0.013175976326825073,0.06980802792321117,0.021797549732629665,3
SNN-S,a06,synthetic_only,191,0.5427574171029669,0.013175976326825104,0.23909249563699828,0.010898774866314827,3
SNN-S,h08,adapted_positive_replay,216,0.9398148148148149,0.0046296296296296224,0.02314814814814815,0.016037507477489603,3
SNN-S,h08,synthetic_only,216,0.9444444444444445,0.008018753738744782,0.10339506172839506,0.00534583582582987,3
SNN-S,h24,adapted_positive_replay,225,0.9955555555555554,0.0,0.002962962962962963,0.002566001196398337,3
SNN-S,h24,synthetic_only,225,0.9437037037037038,0.011184939904104805,0.09037037037037038,0.002566001196398338,3
SNN-S,i29,adapted_positive_replay,213,0.6165884194053208,0.018973952508579278,0.08450704225352113,0.008131693932248251,3
SNN-S,i29,synthetic_only,213,0.5852895148669797,0.02669596574214706,0.2237871674491393,0.018973952508579254,3
SNN-S,s31,adapted_positive_replay,251,0.9880478087649402,0.007968127490039834,0.0013280212483399733,0.0023002002756558797,3
SNN-S,s31,synthetic_only,251,1.0,0.0,0.0,0.0,3
SNN-M,a06,adapted_positive_replay,191,0.9336823734729495,0.007997514301842595,0.08202443280977312,0.00799751430184265,3
SNN-M,a06,synthetic_only,191,0.5951134380453752,0.037144496777997825,0.34380453752181506,0.010898774866314806,3
SNN-M,h08,adapted_positive_replay,216,1.0,0.0,0.0,0.0,3
SNN-M,h08,synthetic_only,216,0.9506172839506174,0.007071876072462723,0.1527777777777778,0.004629629629629643,3
SNN-M,h24,adapted_positive_replay,225,0.9985185185185186,0.002566001196398361,0.0,0.0,3
SNN-M,h24,synthetic_only,225,0.9688888888888889,0.0,0.13037037037037036,0.017962008374788365,3
SNN-M,i29,adapted_positive_replay,213,0.8998435054773083,0.00977307980970021,0.03286384976525822,0.012421367657580238,3
SNN-M,i29,synthetic_only,213,0.5618153364632238,0.015091785228471037,0.37402190923317685,0.01509178522847098,3
SNN-M,s31,adapted_positive_replay,251,1.0,0.0,0.0,0.0,3
SNN-M,s31,synthetic_only,251,1.0,0.0,0.0,0.0,3
SNN-L,a06,adapted_positive_replay,191,0.9493891797556718,0.0030227762784797592,0.14659685863874347,0.013852101105050202,3
SNN-L,a06,synthetic_only,191,0.600349040139616,0.047506658250667355,0.4275741710296684,0.016830106040127357,3
SNN-L,h08,adapted_positive_replay,216,0.9984567901234568,0.0026729179129149298,0.007716049382716049,0.005345835825829868,3
SNN-L,h08,synthetic_only,216,0.933641975308642,0.01165097906677589,0.125,0.016692367016036987,3
SNN-L,h24,adapted_positive_replay,225,1.0,0.0,0.0044444444444444444,0.0044444444444444444,3
SNN-L,h24,synthetic_only,225,0.957037037037037,0.005132002392796675,0.1051851851851852,0.011184939904104806,3
SNN-L,i29,adapted_positive_replay,213,0.8998435054773083,0.018973952508579278,0.13771517996870108,0.031259756424785894,3
SNN-L,i29,synthetic_only,213,0.5899843505477308,0.023159074470968283,0.4178403755868545,0.024842735315160472,3
SNN-L,s31,adapted_positive_replay,251,0.99867197875166,0.0023002002756558775,0.0,0.0,3
SNN-L,s31,synthetic_only,251,1.0,0.0,0.006640106241699867,0.004600400551311759,3
