family,terrain,condition,unique_windows,vehicle_recall_mean,vehicle_recall_sd,human_head_rate_mean,human_head_rate_sd,seeds
SNN-S,asphalt_road,adapted_positive_replay,169,0.719921104536489,0.012317550292699053,0.07692307692307693,0.02133462293173958,3
SNN-S,road_curb,adapted_positive_replay,22,0.9848484848484849,0.026243194054073875,0.015151515151515152,0.0262431940540739,3
SNN-S,asphalt_road,synthetic_only,169,0.5167652859960552,0.014891192180021214,0.25443786982248523,0.010248821346561417,3
SNN-S,road_curb,synthetic_only,22,0.7424242424242425,0.026243194054073875,0.12121212121212122,0.026243194054073892,3
SNN-S,asphalt_road_with_gravel,adapted_positive_replay,441,0.9682539682539683,0.0022675736961451642,0.012849584278155706,0.006545921419383511,3
SNN-S,asphalt_road_with_gravel,synthetic_only,441,0.9440665154950869,0.009164289987136942,0.09674981103552532,0.003463776035491947,3
SNN-S,concrete,adapted_positive_replay,213,0.6165884194053208,0.018973952508579278,0.08450704225352113,0.008131693932248251,3
SNN-S,concrete,synthetic_only,213,0.5852895148669797,0.02669596574214706,0.2237871674491393,0.018973952508579254,3
SNN-S,dirt_road_with_gravel,adapted_positive_replay,251,0.9880478087649402,0.007968127490039834,0.0013280212483399733,0.0023002002756558797,3
SNN-S,dirt_road_with_gravel,synthetic_only,251,1.0,0.0,0.0,0.0,3
SNN-M,asphalt_road,adapted_positive_replay,169,0.9250493096646943,0.009038610838177228,0.09270216962524654,0.0090386108381772,3
SNN-M,road_curb,adapted_positive_replay,22,1.0,0.0,0.0,0.0,3
SNN-M,asphalt_road,synthetic_only,169,0.5660749506903353,0.04027727387901801,0.35700197238658776,0.01366509512874854,3
SNN-M,road_curb,synthetic_only,22,0.8181818181818182,0.045454545454545484,0.24242424242424243,0.026243194054073892,3
SNN-M,asphalt_road_with_gravel,adapted_positive_replay,441,0.999244142101285,0.0013091842838767332,0.0,0.0,3
SNN-M,asphalt_road_with_gravel,synthetic_only,441,0.9599395313681027,0.0034637760354919393,0.14134542705971279,0.009440662129098125,3
SNN-M,concrete,adapted_positive_replay,213,0.8998435054773083,0.00977307980970021,0.03286384976525822,0.012421367657580238,3
SNN-M,concrete,synthetic_only,213,0.5618153364632238,0.015091785228471037,0.37402190923317685,0.01509178522847098,3
SNN-M,dirt_road_with_gravel,adapted_positive_replay,251,1.0,0.0,0.0,0.0,3
SNN-M,dirt_road_with_gravel,synthetic_only,251,1.0,0.0,0.0,0.0,3
SNN-L,asphalt_road,adapted_positive_replay,169,0.942800788954635,0.00341627378218708,0.15976331360946747,0.01775147928994083,3
SNN-L,road_curb,adapted_positive_replay,22,1.0,0.0,0.04545454545454545,0.045454545454545456,3
SNN-L,asphalt_road,synthetic_only,169,0.5996055226824457,0.05927013491643682,0.42011834319526625,0.017751479289940815,3
SNN-L,road_curb,synthetic_only,22,0.6060606060606061,0.05248638810814781,0.48484848484848486,0.052486388108147784,3
SNN-L,asphalt_road_with_gravel,adapted_positive_replay,441,0.999244142101285,0.0013091842838767332,0.006046863189720333,0.0034637760354919423,3
SNN-L,asphalt_road_with_gravel,synthetic_only,441,0.945578231292517,0.003927552851630095,0.11489040060468632,0.013091842838767024,3
SNN-L,concrete,adapted_positive_replay,213,0.8998435054773083,0.018973952508579278,0.13771517996870108,0.031259756424785894,3
SNN-L,concrete,synthetic_only,213,0.5899843505477308,0.023159074470968283,0.4178403755868545,0.024842735315160472,3
SNN-L,dirt_road_with_gravel,adapted_positive_replay,251,0.99867197875166,0.0023002002756558775,0.0,0.0,3
SNN-L,dirt_road_with_gravel,synthetic_only,251,1.0,0.0,0.006640106241699867,0.004600400551311759,3
